C,n,P,t,a,N,LN
-9.424649299,2.716032064,13885.77154,2.406212425,2.153306613,60634.79097,4.782721885
-9.434268537,2.711222445,14931.86373,2.622645291,2.067134269,65841.84427,4.818501987
-9.939278557,3.158517034,13188.37675,2.574549098,1.830661323,101132.9641,5.004892736
-9.386172345,2.622244489,11384.76954,2.43987976,1.69238477,126688.1296,5.102735924
-9.374148297,2.627054108,14186.37275,2.798997996,2.0250501,96353.94737,4.983869511
-9.559318637,2.776152305,11228.45691,2.176953908,2.341683367,94677.08468,4.976244877
-9.891182365,3.095991984,12334.66934,2.544088176,2.22745491,117456.4238,5.069876774
-9.754108216,3.033466934,14114.22846,2.329258517,2.043086172,51716.72588,4.713631022
-9.934468938,3.204208417,16170.34068,2.625851703,1.706412826,50587.90904,4.704046729
-9.458316633,2.732865731,13308.61723,2.356513026,1.5,69602.31184,4.842623665
-9.645891784,2.934869739,12118.23647,2.845490982,2.373747495,138378.7911,5.141069532
-9.422244489,2.660721443,15412.82565,2.888777555,1.836673347,87894.58801,4.943962135
-9.482364729,2.725651303,16458.91784,2.766933868,1.938877756,63842.074,4.805106987
-9.871943888,3.093587174,11781.56313,2.451102204,2.179358717,116938.3989,5.067957143
-9.537675351,2.778557114,16615.23046,2.459118236,1.748496994,45172.34783,4.654872664
-9.506412826,2.756913828,11577.15431,2.343687375,1.636272545,105966.4372,5.025168333
-9.85751503,3.095991984,11565.13026,2.648296593,2.453907816,144967.8339,5.16127165
-9.556913828,2.790581162,13501.002,2.406212425,1.758517034,76816.26264,4.885453173
-9.845490982,3.12244489,14547.09419,2.871142285,2.199398798,87116.93048,4.940102565
-9.41743487,2.658316633,16482.96593,2.71242485,2.30761523,58779.4263,4.769225343
-9.898396794,3.163326653,14691.38277,2.189779559,1.532064128,39874.41504,4.600694325
-9.47995992,2.74488978,12226.45291,2.289178357,1.900801603,81547.36389,4.911409927
-9.362124248,2.588577154,12202.40481,2.201002004,2.083166333,80774.72105,4.907275467
-9.811823647,3.088777555,16855.71142,2.452705411,2.075150301,34685.0288,4.540142059
-9.98256513,3.230661323,15352.70541,2.816633267,2.137274549,74080.12295,4.869701694
-9.657915832,2.920440882,16122.24449,2.758917836,1.754509018,62937.75341,4.798911237
